2026-03-23 13:18:54,373 | WARNING | src.processor | Skipping testbin.bin: Decryption failed. Invalid or wrong encryption key.
2026-03-23 13:18:54,374 | INFO | src.processor | test.csv: ok -> ['integrity_verified', 'test_encrypted.bin', 'test_masked.csv', 'test_masked.checksum']
2026-03-23 13:18:54,374 | INFO | src.processor | sample_data2.csv: ok -> ['integrity_verified', 'sample_data2_encrypted.bin', 'sample_data2_masked.csv', 'sample_data2_masked.checksum']
2026-03-23 13:18:54,374 | INFO | src.processor | test1.csv: ok -> ['integrity_verified', 'test1_encrypted.bin', 'test1_masked.csv', 'test1_masked.checksum']
2026-03-23 13:18:54,374 | INFO | src.processor | bad_data.csv: ok -> ['integrity_verified', 'bad_data_encrypted.bin', 'bad_data_masked.csv', 'bad_data_masked.checksum']
2026-03-23 13:18:54,374 | INFO | src.processor | broken_file.csv: ok -> ['integrity_verified', 'broken_file_encrypted.bin', 'broken_file_masked.csv', 'broken_file_masked.checksum']
2026-03-23 13:18:54,374 | INFO | src.processor | external_dataset.csv: ok -> ['integrity_verified', 'external_dataset_encrypted.bin', 'external_dataset_masked.csv', 'external_dataset_masked.checksum']
2026-03-23 13:18:54,374 | INFO | src.processor | test4.csv: ok -> ['integrity_verified', 'test4_encrypted.bin', 'test4_masked.csv', 'test4_masked.checksum']
2026-03-23 13:18:54,374 | INFO | src.processor | testbin.bin: skipped -> ['decryption_skipped_invalid_file']
2026-03-23 13:18:54,374 | INFO | src.processor | testing_bin.bin: ok -> ['testing_bin_decrypted.csv']
2026-03-23 13:18:54,485 | INFO | src.processor | Summary JSON generated: /home/runner/work/elective4project/elective4project/output/pipeline_summary.json
2026-03-23 13:18:54,485 | INFO | src.processor | Summary chart generated: /home/runner/work/elective4project/elective4project/output/pipeline_summary.png
